item_code_raw,item_code,official_description,official_unit,is_deleted
260E2090,260E2090,"Gravel Cushion, State Furnished",Ton,false
260E2220,260E2220,Nonstabilized Open Graded Gravel Cushion,Ton,false
260E3010,260E3010,Gravel Surfacing,Ton,false
260E3020,260E3020,Gravel Surfacing,CuYd,false
260E3030,260E3030,"Gravel Surfacing, Salvaged",Ton,false
260E3050,260E3050,"Gravel Surfacing, Salvaged Asphalt Mix",Ton,false
260E3060,260E3060,"Gravel Surfacing, Modified",Ton,false
260E3090,260E3090,"Gravel Surfacing, State Furnished",Ton,false
260E3500,260E3500,Temporary Gravel Surfacing,Ton,false
260E4000,260E4000,Pea Gravel,Ton,false
260E4090,260E4090,"Granular Material, State Furnished",Ton,false
260E4500,260E4500,Processed Subgrade Topping,CuYd,false
260E5000,260E5000,Shot Rock,Ton,false
260E6000,260E6000,"Granular Material, Furnish",Ton,false
260E6010,260E6010,Granular Material,Ton,false
270E0020,270E0020,Salvage and Stockpile Asphalt Mix Material,Ton,false
270E0022,270E0022,Salvage Asphalt Mix Material,Ton,false
270E0040,270E0040,Salvage and Stockpile Asphalt Mix and Granular Material,Ton,false
270E0042,270E0042,Salvage Asphalt Mix and Granular Material,Ton,false
270E0060,270E0060,Salvage and Stockpile PCC Pavement,Ton,false
270E0070,270E0070,Fractionate and Stockpile Asphalt Mix Material,Ton,false
270E0110,270E0110,Salvage and Stockpile Granular Material,Ton,false
270E0112,270E0112,Salvage Granular Material,Ton,false
270E0200,270E0200,"Blend, Haul, and Stockpile Granular Material",Ton,false
270E0210,270E0210,Haul and Stockpile Granular Material,Ton,false
270E0220,270E0220,Blend and Stockpile Granular Material,Ton,false
270E0230,270E0230,Haul and Stockpile Asphalt Mix Material,Ton,false
270E0300,270E0300,Haul Material,CuYd,false
270E0310,270E0310,Haul Material,Ton,false
280E0010,280E0010,Full Depth Reclamation,SqYd,false
280E0020,280E0020,"Full Depth Reclamation, Shoulder",SqYd,false
280E1000,280E1000,Process In Place,SqYd,false
320E0001,320E0001,PG 52-28 Asphalt Binder,Ton,false
320E0002,320E0002,PG 52-34 Asphalt Binder,Ton,false
320E0003,320E0003,PG 58-22 Asphalt Binder,Ton,false
320E0004,320E0004,PG 58-28 Asphalt Binder,Ton,false
320E0005,320E0005,PG 58-34 Asphalt Binder,Ton,false
320E0006,320E0006,PG 64-22 Asphalt Binder,Ton,false
320E0007,320E0007,PG 64-28 Asphalt Binder,Ton,false
320E0008,320E0008,PG 64-34 Asphalt Binder,Ton,false
320E0009,320E0009,PG 70-28 Asphalt Binder,Ton,false
320E0010,320E0010,PG 70-34 Asphalt Binder,Ton,false
320E0032,320E0032,PG 58H-34 Asphalt Binder,Ton,false
320E0033,320E0033,PG 58V-34 Asphalt Binder,Ton,false
320E0034,320E0034,PG 58E-34 Asphalt Binder,Ton,false
320E0950,320E0950,Ultrathin Bonded Wearing Course,Ton,false
320E1000,320E1000,Asphalt Concrete Bond Breaker,Ton,false
320E1001,320E1001,Class Q1 Hot Mixed Asphalt Concrete,Ton,false
320E1002,320E1002,Class Q2 Hot Mixed Asphalt Concrete,Ton,false
320E1003,320E1003,Class Q3 Hot Mixed Asphalt Concrete,Ton,false
320E1004,320E1004,Class Q4 Hot Mixed Asphalt Concrete,Ton,false
320E1005,320E1005,Class Q5 Hot Mixed Asphalt Concrete,Ton,false
320E1040,320E1040,Class D Asphalt Concrete,Ton,false
320E1050,320E1050,Class E Asphalt Concrete,Ton,false
320E1052,320E1052,Modified Class E Asphalt Concrete,Ton,false
320E1060,320E1060,Class G Asphalt Concrete,Ton,false
320E1070,320E1070,Class HR Asphalt Concrete,Ton,false
320E1080,320E1080,Class S Asphalt Concrete,Ton,false
320E1090,320E1090,Modified Class S Asphalt Concrete,Ton,false
320E1101,320E1101,Class Q1 Asphalt Concrete (WMA modified),Ton,false
320E1102,320E1102,Class Q2 Asphalt Concrete (WMA modified),Ton,false
320E1103,320E1103,Class Q3 Asphalt Concrete (WMA Modified),Ton,false
320E1104,320E1104,Class Q4 Asphalt Concrete (WMA Modified),Ton,false
320E1105,320E1105,Class Q5 Asphalt Concrete (WMA Modified),Ton,false
320E1190,320E1190,Contractor Furnished Asphalt Concrete Composite,Ton,false
320E1200,320E1200,Asphalt Concrete Composite,Ton,false
320E1201,320E1201,Class Q1R Hot Mixed Asphalt Concrete,Ton,false
