agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_504-03341,CO,CDOT,504-03341,Retaining Wall (31)(Alternative Systems),Retaining Wall (31)(Alternative Systems),L S,
co_cdot_504-03342,CO,CDOT,504-03342,Retaining Wall (32)(Alternative Systems),Retaining Wall (32)(Alternative Systems),L S,
co_cdot_504-03343,CO,CDOT,504-03343,Retaining Wall (33)(Alternative Systems),Retaining Wall (33)(Alternative Systems),L S,
co_cdot_504-03344,CO,CDOT,504-03344,Retaining Wall (34)(Alternative Systems),Retaining Wall (34)(Alternative Systems),L S,
co_cdot_504-03345,CO,CDOT,504-03345,Retaining Wall (35)(Alternative Systems),Retaining Wall (35)(Alternative Systems),L S,
co_cdot_504-03346,CO,CDOT,504-03346,Retaining Wall (36)(Alternative Systems),Retaining Wall (36)(Alternative Systems),L S,
co_cdot_504-03347,CO,CDOT,504-03347,Retaining Wall (37)(Alternative Systems),Retaining Wall (37)(Alternative Systems),L S,
co_cdot_504-03348,CO,CDOT,504-03348,Retaining Wall (38)(Alternative Systems),Retaining Wall (38)(Alternative Systems),L S,
co_cdot_504-03349,CO,CDOT,504-03349,Retaining Wall (39)(Alternative Systems),Retaining Wall (39)(Alternative Systems),L S,
co_cdot_504-03350,CO,CDOT,504-03350,Retaining Wall (40)(Alternative Systems),Retaining Wall (40)(Alternative Systems),L S,
co_cdot_504-03351,CO,CDOT,504-03351,Retaining Wall (41)(Alternative Systems),Retaining Wall (41)(Alternative Systems),L S,
co_cdot_504-03400,CO,CDOT,504-03400,Retaining Wall Coping Anchor,Ret Wall Coping Anchor,EACH,
co_cdot_504-03405,CO,CDOT,504-03405,Retaining Wall Coping Anchor (Special),Ret Wall Coping Anchor (Spec),EACH,
co_cdot_504-03411,CO,CDOT,504-03411,Retaining Wall (Boulder),Retaining Wall (Boulder),SF,
co_cdot_504-03500,CO,CDOT,504-03500,Retaining Wall (Design Build),Retaining Wall(Design Build),SF,
co_cdot_504-04410,CO,CDOT,504-04410,Block Facing,Block Facing,SF,
co_cdot_504-04420,CO,CDOT,504-04420,Precast Panel Facing,Precast Panel Facing,SF,
co_cdot_504-04425,CO,CDOT,504-04425,Architectural Precast Concrete Panel,Architectural Precast Concrete Panel,SF,
co_cdot_504-04430,CO,CDOT,504-04430,Reinforced Concrete Facing,Reinforced Concrete Facing,SF,
co_cdot_504-04440,CO,CDOT,504-04440,Facing (Special),Facing (Special),SF,
co_cdot_504-05000,CO,CDOT,504-05000,Wire Mesh Facing,Wire Mesh Facing,SF,
co_cdot_504-05100,CO,CDOT,504-05100,Geotextile Wrap of Existing Pier Bents,Geo Wrap of Exist Pier Bents,EACH,
co_cdot_504-06100,CO,CDOT,504-06100,Ground Nailed Wall,Ground Nailed Wall,SF,
co_cdot_504-06300,CO,CDOT,504-06300,Ground Nail,Ground Nail,LF,
co_cdot_504-06310,CO,CDOT,504-06310,Ground Nail (10 Foot),Ground Nail (10 Foot),EACH,
co_cdot_504-06315,CO,CDOT,504-06315,Ground Nail (15 Foot),Ground Nail (15 Foot),EACH,
co_cdot_504-06320,CO,CDOT,504-06320,Ground Nail (20 Foot),Ground Nail (20 Foot),EACH,
co_cdot_504-06325,CO,CDOT,504-06325,Ground Nail (25 Foot),Ground Nail (25 Foot),EACH,
co_cdot_504-06327,CO,CDOT,504-06327,Ground Nail (27 Foot),Ground Nail (27 Foot),EACH,
co_cdot_504-06335,CO,CDOT,504-06335,Ground Nail (35 Foot),Ground Nail (35 Foot),EACH,
co_cdot_504-06400,CO,CDOT,504-06400,Soil Nail Wall,Soil Nail Wall,SF,
co_cdot_504-06406,CO,CDOT,504-06406,Soil Nail,Soil Nail,LF,
co_cdot_504-06410,CO,CDOT,504-06410,Verification Testing,Verification Testing,EACH,
co_cdot_504-06501,CO,CDOT,504-06501,Permanent Tieback Anchor System,Perm Tieback Anchor Sys,SF,
co_cdot_504-08050,CO,CDOT,504-08050,Stone Landscape Wall,Stone Landscape Wall,SF,
co_cdot_504-08150,CO,CDOT,504-08150,Soldier Pile Wall,Soldier Pile Wall,SF,
co_cdot_504-08255,CO,CDOT,504-08255,Masonry Landscape Wall (Dry Stack),Masonry Landscape Wall (Dry Stack),SF,
co_cdot_506-00000,CO,CDOT,506-00000,Riprap,Riprap,CY,
co_cdot_506-00005,CO,CDOT,506-00005,Riprap,Riprap,SY,
co_cdot_506-00010,CO,CDOT,506-00010,Riprap (Special),Riprap (Special),CY,
co_cdot_506-00012,CO,CDOT,506-00012,Riprap (Special),Riprap (Special),EACH,
co_cdot_506-00020,CO,CDOT,506-00020,Place Riprap,Place Riprap,CY,
co_cdot_506-00025,CO,CDOT,506-00025,Riprap (Furnish Only),Furn Riprap,CY,
co_cdot_506-00030,CO,CDOT,506-00030,Grouted Riprap,Grouted Riprap,CY,
co_cdot_506-00035,CO,CDOT,506-00035,Grouted Riprap,Grouted Riprap,SY,
co_cdot_506-00036,CO,CDOT,506-00036,Grouted Riprap (36 Inch) (Special),Grouted Riprap (36 In) (Special),CY,
co_cdot_506-00042,CO,CDOT,506-00042,Grouted Riprap (42 Inch) (Special),Grouted Riprap (42 In) (Special),CY,
co_cdot_506-00050,CO,CDOT,506-00050,Slope Mattress,Slope Mattress,CY,
co_cdot_506-00055,CO,CDOT,506-00055,Slope Mattress (PVC Coated),Slope Mattress (PVC),CY,
co_cdot_506-00100,CO,CDOT,506-00100,Riprap (Gabions),Riprap (Gabions),CY,
co_cdot_506-00105,CO,CDOT,506-00105,Riprap (Gabions) (PVC Coated),Riprap (Gabions) (PVC),CY,
co_cdot_506-00206,CO,CDOT,506-00206,Riprap (6 Inch),Riprap (6 In),CY,
co_cdot_506-00207,CO,CDOT,506-00207,Rip Rap (6 Inch),Rip Rap (6 In),TON,
co_cdot_506-00209,CO,CDOT,506-00209,Riprap (9 Inch),Riprap (9 In),CY,
co_cdot_506-00210,CO,CDOT,506-00210,Riprap (9 Inch),Riprap (9 In),TON,
co_cdot_506-00212,CO,CDOT,506-00212,Riprap (12 Inch),Riprap (12 In),CY,
co_cdot_506-00213,CO,CDOT,506-00213,Riprap (12 Inch)(Install Only),Riprap (12 Inch)(Install Only),CY,
co_cdot_506-00218,CO,CDOT,506-00218,Riprap (18 Inch),Riprap (18 In),CY,
co_cdot_506-00222,CO,CDOT,506-00222,Riprap (18 Inch) (Special) (CIP),Riprap (18 In) (Spec) (CIP),CY,
co_cdot_506-00224,CO,CDOT,506-00224,Riprap (24 Inch),Riprap (24 In),CY,
co_cdot_506-00225,CO,CDOT,506-00225,Riprap (24 Inch) (Special),Riprap (24 In) (Spec),CY,
co_cdot_506-00226,CO,CDOT,506-00226,Riprap (24 Inch),Riprap (24 In),TON,
co_cdot_506-00227,CO,CDOT,506-00227,Riprap (24 Inch) (Install Only),Riprap (24 In) (Install Only),CY,
co_cdot_506-00230,CO,CDOT,506-00230,Riprap (30 In),Riprap (30 In),CY,
co_cdot_506-00236,CO,CDOT,506-00236,Riprap (36 Inch),Riprap (36 In),CY,
co_cdot_506-00237,CO,CDOT,506-00237,Riprap (36 Inch) (Special),Riprap (36 In) (Spec),CY,
co_cdot_506-00238,CO,CDOT,506-00238,Riprap (36 Inch),Riprap (36 In),TON,
co_cdot_506-00243,CO,CDOT,506-00243,Riprap (42 Inch) (Special),Riprap (42 In) (Spec),CY,
co_cdot_506-00312,CO,CDOT,506-00312,Riprap (12 Inch) (Furnish Only),Riprap (12 In) (Furn Only),CY,
co_cdot_506-00318,CO,CDOT,506-00318,Riprap (18 Inch) (Furnish Only),Riprap (18 In) (Furn Only),CY,
co_cdot_506-00319,CO,CDOT,506-00319,Riprap (18 Inch) (Install Only),Riprap (18 Inch) (Install Only),CY,
co_cdot_506-00324,CO,CDOT,506-00324,Riprap (24 Inch) (Furnish Only),Riprap (24 In) (Furn Only),CY,
co_cdot_506-00406,CO,CDOT,506-00406,Soil Riprap (6 Inch),Soil Riprap (6 In),CY,
co_cdot_506-00409,CO,CDOT,506-00409,Soil Riprap (9 Inch),Soil Riprap (9 In),CY,
co_cdot_506-00412,CO,CDOT,506-00412,Soil Riprap (12 Inch),Soil Riprap (12 In),CY,
co_cdot_506-00418,CO,CDOT,506-00418,Soil Riprap (18 Inch),Soil Riprap (18 In),CY,
co_cdot_506-00424,CO,CDOT,506-00424,Soil Riprap (24 Inch),Soil Riprap (24 In),CY,
co_cdot_506-00430,CO,CDOT,506-00430,Soil Riprap (30 Inch),Soil Riprap (30 Inch),CY,
co_cdot_506-00512,CO,CDOT,506-00512,Riprap (12 Inch)(Furnish Only),Riprap (12 In)(Furnish),TON,
co_cdot_506-00518,CO,CDOT,506-00518,Riprap (18 Inch)(Furnish Only),Riprap (18 In)(Furnish),TON,
co_cdot_506-00524,CO,CDOT,506-00524,Riprap (24 Inch)(Furnish Only),Riprap (24 In)(Furnish),TON,
co_cdot_506-00600,CO,CDOT,506-00600,In-Channel Boulder Feature (Riffle),In-Channel Boulder Feature (Riffle),EACH,
co_cdot_506-00601,CO,CDOT,506-00601,In-Channel Boulder Feature (Step),In-Channel Boulder Feature (Step),EACH,
co_cdot_506-00602,CO,CDOT,506-00602,In-Channel Boulder Feature (Boulder Cascade),In-Channel Boulder Feature (Bldr Cascde),EACH,
co_cdot_506-00603,CO,CDOT,506-00603,In-Channel Boulder Feature (Habitat Boulder Field),In-Chan Bldr Featre (Hbitat Bldr Field),EACH,
co_cdot_506-00606,CO,CDOT,506-00606,In-Channel Boulder Grouted (24 Inch),In-Channel Boulder Grouted (24 In),CY,
co_cdot_506-00612,CO,CDOT,506-00612,Matrix Riprap (12 Inch),Matrix Riprap (12 In),CY,
co_cdot_506-00618,CO,CDOT,506-00618,Matrix Riprap (18 Inch),Matrix Riprap (18 In),CY,
co_cdot_506-00700,CO,CDOT,506-00700,Void-Filled Riprap,Void-Filled Riprap,CY,
co_cdot_506-00800,CO,CDOT,506-00800,Rock Ribs,Rock Ribs,LF,
co_cdot_506-00960,CO,CDOT,506-00960,Reclaimed Rock (Angular Rock-Rundown),Reclaimed Rock (Angular Rock-Rundown),CY,
co_cdot_506-00970,CO,CDOT,506-00970,Reclaimed Rock (Angular Boulder),Reclaimed Rock (Angular Boulder),CY,
co_cdot_506-01020,CO,CDOT,506-01020,Geogrid Reinforcement,Geogrid Reinforce,SY,
co_cdot_506-01021,CO,CDOT,506-01021,Geogrid Reinforcement (Secondary),Geogrid Reinforce (Secondary),SY,
co_cdot_506-01100,CO,CDOT,506-01100,Concrete Block Revetment,Conc Block Revetment,SY,
co_cdot_506-02000,CO,CDOT,506-02000,Recirculating Stream,Recirculating Stream,L S,
co_cdot_506-03000,CO,CDOT,506-03000,Harvest Reclaimed Rock (Angular Rock),Harvest Reclaimed Rock (Angular Rock),CY,
co_cdot_506-03010,CO,CDOT,506-03010,Harvest Reclaimed Rock (Habitat Boulder),Harvest Reclaimed Rock (Habitat Boulder),CY,
co_cdot_506-03020,CO,CDOT,506-03020,Harvest Reclaimed Rock (Angular Boulder),Harvest Reclaimed Rock (Angular,CY,
co_cdot_506-03050,CO,CDOT,506-03050,Reclaimed Rock (Angular Rock-Nuisance Protection),Reclaimed Rock (Angular Rock-Nuis Prot),CY,
co_cdot_506-04018,CO,CDOT,506-04018,Riprap (18 Inch-Nuisance Protection),Riprap (18 Inch-Nuisance Protection),CY,
co_cdot_506-04024,CO,CDOT,506-04024,Riprap (24 Inch-Habitat Boulder Toe),Riprap (24 Inch-Habitat Boulder Toe),CY,
co_cdot_507-00000,CO,CDOT,507-00000,Concrete Slope and Ditch Paving,Conc S and D Pave,CY,
co_cdot_507-00100,CO,CDOT,507-00100,Concrete Slope and Ditch Paving (Reinforced),Conc S and D Pave (Reinf),CY,
co_cdot_507-00101,CO,CDOT,507-00101,Concrete Slope and Ditch Paving (Reinforced,Conc S and D Pave (Reinf),LF,
co_cdot_507-00250,CO,CDOT,507-00250,Dry Rubble Slope and Ditch Paving (Special),Dry Rubble S and D Pave (S),CY,
co_cdot_507-00300,CO,CDOT,507-00300,Grouted Rubble Slope and Ditch Paving,Gr Rubble S and D Pave,CY,
co_cdot_507-00350,CO,CDOT,507-00350,Grouted Riprap Slope and Ditch Paving,Gr Riprap S and D Pave,CY,
co_cdot_507-00400,CO,CDOT,507-00400,Asphalt Slope and Ditch Paving (Asphalt),Asphalt S and D Pave (Asph),TON,
co_cdot_507-00550,CO,CDOT,507-00550,Concrete Lined Ditch,Concrete Lined Ditch,LF,
co_cdot_507-00555,CO,CDOT,507-00555,Concrete Lined Ditch,Concrete Lined Ditch,CY,
co_cdot_507-00600,CO,CDOT,507-00600,Metal Lined Ditch,Metal Lined Ditch,LF,
co_cdot_507-00700,CO,CDOT,507-00700,Slope and Ditch Paving (Special),S and D Pave (Spec),CY,
co_cdot_507-00725,CO,CDOT,507-00725,Slope and Ditch Paving (Special),S and D Paving (Special),LF,
co_cdot_507-00750,CO,CDOT,507-00750,Irrigation Ditch System,Irrigation Ditch System,L S,
co_cdot_508-00100,CO,CDOT,508-00100,Treated Timber,Tr Timber,MFBM,
co_cdot_508-00520,CO,CDOT,508-00520,Insulation Material (2 Inch),Insulation Material (2 In),SF,
co_cdot_508-08150,CO,CDOT,508-08150,Provide Temporary Support,Provide Temporary Support,SY,
co_cdot_508-90000,CO,CDOT,508-90000,Paint Existing Structure,Paint Existing Structure,L S,
co_cdot_509-00000,CO,CDOT,509-00000,Structural Steel,Str Steel,LB,
co_cdot_509-00001,CO,CDOT,509-00001,Structural Steel (Galvanized),Str Steel (Galv),LB,
co_cdot_509-00003,CO,CDOT,509-00003,Structural Steel (Install Only),Str Steel (Install Only),LB,
co_cdot_509-00010,CO,CDOT,509-00010,Structural Steel (Special),Str Steel (Spec),LB,
co_cdot_509-08010,CO,CDOT,509-08010,Alter and Erect Structural Steel,Alter-Erect Str Steel,L S,
co_cdot_509-08020,CO,CDOT,509-08020,Alter and Erect Structural Steel,Alter-Erect Str Steel,LB,
co_cdot_509-08100,CO,CDOT,509-08100,Provide Temporary Support,Provide Temporary Support,L S,
co_cdot_509-08102,CO,CDOT,509-08102,Provide Temporary Support,Provide Temporary Support,EACH,
co_cdot_509-08120,CO,CDOT,509-08120,Temporary Bridge Deck,Temporary Bridge Deck,SF,
co_cdot_509-08121,CO,CDOT,509-08121,Temporary Bridge Deck,Temp Bridge Deck,LF,
co_cdot_509-08201,CO,CDOT,509-08201,Retrofit/Repair Type I,Retrofit/Repair Type I,EACH,
co_cdot_509-08202,CO,CDOT,509-08202,Retrofit/Repair Type II,Retrofit/Repair Ty II,EACH,
co_cdot_509-08203,CO,CDOT,509-08203,Retrofit/Repair Type III,Retrofit/Repair Type III,EACH,
co_cdot_509-08204,CO,CDOT,509-08204,Retrofit/Repair Type IV,Retrofit/Repair Type IV,EACH,
co_cdot_509-08205,CO,CDOT,509-08205,Retrofit/Repair Type V,Retrofit/Repair Type V,EACH,
co_cdot_509-08206,CO,CDOT,509-08206,Retrofit/Repair Type VI,Retrofit/Repair Type VI,EACH,
co_cdot_509-08207,CO,CDOT,509-08207,Retrofit/Repair Type VII,Retrofit/Repair Type VII,EACH,
co_cdot_509-18055,CO,CDOT,509-18055,Structural Steel (W 18x55),Str Steel (W 18x55),TON,
co_cdot_509-50000,CO,CDOT,509-50000,Corrugated Steel Bridge Plank,Cor Steel Br Plank,SF,
co_cdot_509-50400,CO,CDOT,509-50400,Restraining Bracket,Restraining Bracket,EACH,
co_cdot_509-50410,CO,CDOT,509-50410,Metal Panels (New),Metal Panels (New),SF,
co_cdot_509-50420,CO,CDOT,509-50420,Air Flue Modifications,Air Flue Modifications,EACH,
co_cdot_509-60100,CO,CDOT,509-60100,Repair of Handrails and Supports,Repair Handrails & Supports,L S,
co_cdot_509-60200,CO,CDOT,509-60200,Access Screen Door,Access Screen Door,EACH,
co_cdot_509-90000,CO,CDOT,509-90000,Paint Existing Structure(S),Paint Existing Str(S),L S,
co_cdot_509-90001,CO,CDOT,509-90001,Paint Existing Structure,Paint Existing Structure,EACH,
co_cdot_509-90002,CO,CDOT,509-90002,Paint Existing Structure (Special),Paint Existing Structure (Special),GAL,
co_cdot_509-90003,CO,CDOT,509-90003,Paint Structural Steel,Paint Structural Steel,L S,
co_cdot_509-90004,CO,CDOT,509-90004,Paint Existing Structure,Paint Existing Structure,SF,
co_cdot_509-90010,CO,CDOT,509-90010,Zinc Metalizing,Zinc Metalizing,SY,
co_cdot_510-00138,CO,CDOT,510-00138,Structural Plate Pipe (138 Inch),Str PP (138 In),LF,
co_cdot_510-10159,CO,CDOT,510-10159,Structural Plate Arch Pipe (15 Foot 10 Inch X 9 Foot 10 Inch),Str PAP (15-10x9-10),LF,
co_cdot_510-20021,CO,CDOT,510-20021,Structural Plate Arch (9 Foot 0 Inch X 4 Foot 8-1/2 Inch),Str PA (9-0x4-8.5),LF,
co_cdot_510-20025,CO,CDOT,510-20025,Structural Plate Arch Pipe (13 foot 6 inch x 9 foot 6 inch),Str PAP (13-6 x 9-6),LF,
co_cdot_510-20062,CO,CDOT,510-20062,Structural Plate Arch (15 Foot 0 Inch X 7 Foot 5 Inch),Str PA (15-0x7-5),LF,
co_cdot_510-20100,CO,CDOT,510-20100,Structural Plate Arch (Special),Str PA(Spec),LF,
co_cdot_511-00020,CO,CDOT,511-00020,Structural Precast Concrete Arch Unit (20 to 30 Feet),Str Precast Conc Arch Unit (20 to 30 Ft),LF,
co_cdot_511-00040,CO,CDOT,511-00040,Structural Precast Concrete Arch Unit (40 to 50 Feet),Str Precast Conc Arch Unit (40 to 50 Ft),LF,
co_cdot_512-00101,CO,CDOT,512-00101,Bearing Device (Type I),Bearing Device (Type I),EACH,
co_cdot_512-00102,CO,CDOT,512-00102,Bearing Device (Type II),Bearing Device (Type II),EACH,
co_cdot_512-00103,CO,CDOT,512-00103,Bearing Device (Type III),Bearing Device (Type III),EACH,
co_cdot_512-00104,CO,CDOT,512-00104,Bearing Device (Type III)(Install Only),Bearing Dev (Ty III)(Inst Only),EACH,
co_cdot_512-00105,CO,CDOT,512-00105,Bearing Device (Type II) (Special),Bearing Device (Ty II) (Spec),EACH,
co_cdot_512-00114,CO,CDOT,512-00114,Bearing Device (Type IV),Bearing Device (Type IV),EACH,
co_cdot_512-00115,CO,CDOT,512-00115,Bearing Device (Type V),Bearing Device (Type V),EACH,
co_cdot_512-00118,CO,CDOT,512-00118,Bearing Device (Special),Bearing Device (Spec),EACH,
co_cdot_512-00120,CO,CDOT,512-00120,Bearing Repair Corbel,Bearing Repair Corbel,EACH,
co_cdot_513-00600,CO,CDOT,513-00600,Bridge Drain,Bridge Drain,EACH,
co_cdot_513-00606,CO,CDOT,513-00606,Bridge Drain (6 Inch),Bridge Drain (6 In),EACH,
co_cdot_513-00608,CO,CDOT,513-00608,Bridge Drain (8 Inch),Bridge Drain (8 In),EACH,
co_cdot_513-00690,CO,CDOT,513-00690,Bridge Drain (Special),Bridge Drain (Spec),EACH,
co_cdot_513-00691,CO,CDOT,513-00691,Bridge Drain (Special) (Install Only),Inst Bridge Drain (Spec),EACH,
co_cdot_514-00000,CO,CDOT,514-00000,Pipe Railing,Pipe Railing,LF,
co_cdot_514-00042,CO,CDOT,514-00042,Pedestrian Railing (42 Inch),Ped Railing (42 In),LF,
co_cdot_514-00048,CO,CDOT,514-00048,Pedestrian Railing (48 Inch),Ped Railing (48 In),LF,
co_cdot_514-00054,CO,CDOT,514-00054,Pedestrian Railing (54 Inch),Ped Railing (54 In),LF,
co_cdot_514-00100,CO,CDOT,514-00100,Hand Rail,Hand Rail,LF,
co_cdot_514-00200,CO,CDOT,514-00200,Pedestrian Railing (Steel),Pedestrian Railing (Steel),LF,
co_cdot_514-00201,CO,CDOT,514-00201,Pedestrian Railing (Steel)(Special),Ped Railing (Steel) (Spec),LF,
co_cdot_514-01017,CO,CDOT,514-01017,Combination Pedestrian and Traffic Rail (Special),Combination Rail (Spec),LF,
co_cdot_514-01020,CO,CDOT,514-01020,Pedestrian Railing (Timber),Pedestrian Railing (T),LF,
co_cdot_514-01030,CO,CDOT,514-01030,Bikeway Railing (Timber),Bikeway Railing (T),LF,
co_cdot_514-01050,CO,CDOT,514-01050,Hand and Bikeway Railing,Hand and Bikeway Railing,LF,
co_cdot_514-01055,CO,CDOT,514-01055,Bicycle Repair Station,Bicycle Repair Station,EACH,
co_cdot_514-01100,CO,CDOT,514-01100,Perforated Aluminum Panel,Perforated Aluminum Panel,SF,
co_cdot_514-02100,CO,CDOT,514-02100,Install Panel Restraining Tubing,Inst Panel Restraining Tubing,LF,
co_cdot_514-02150,CO,CDOT,514-02150,Install Anchor Bolt,Inst Anchor Bolt,EACH,
co_cdot_514-03411,CO,CDOT,514-03411,Retaining Wall (1) (Alternative Systems),Retaining Wall (1) (Alternative Systems),SF,
co_cdot_515-00120,CO,CDOT,515-00120,Waterproofing (Membrane),Waterproofing (Membrane),SY,
co_cdot_515-00121,CO,CDOT,515-00121,Waterproofing (Membrane),Waterproofing (Membrane),LF,
co_cdot_515-00122,CO,CDOT,515-00122,Waterproofing (Membrane)(Special),Waterproofing (Membrane)(Spec),SY,
co_cdot_515-00124,CO,CDOT,515-00124,Waterproofing (Membrane) (Spray Applied),Waterproofing (Membrane) (Spray,SY,
co_cdot_515-00200,CO,CDOT,515-00200,Waterproofing (Duct Floor),Waterproofing (Duct Floor),SY,
co_cdot_515-00250,CO,CDOT,515-00250,Tunnel Drainage Membrane Lining,Tunnel Drain Membr Lining,LF,
co_cdot_515-00251,CO,CDOT,515-00251,Tunnel Drainage Membrane Lining,Tunnel Drain Membr Lining,SY,
co_cdot_515-00300,CO,CDOT,515-00300,Waterproof Coating,Waterproof Coating,SY,
co_cdot_515-00400,CO,CDOT,515-00400,Concrete Sealer,Concrete Sealer,SY,
co_cdot_515-00402,CO,CDOT,515-00402,Furnish Concrete Sealer (HMWM Resin),Furnish Concrete Sealer (HMWM Resin),GAL,
co_cdot_515-00404,CO,CDOT,515-00404,Place Concrete Sealer (HMWM Resin),Place Concrete Sealer (HMWM Resin),SF,
co_cdot_515-00410,CO,CDOT,515-00410,Concrete Sealer (Calcium Nitrite),Concrete Sealer (Calcium Nitrite),SY,
co_cdot_515-00500,CO,CDOT,515-00500,Corrosion Inhibitor (Penetrating),Corrosion Inhibitor (Penetrating),SY,
co_cdot_516-00000,CO,CDOT,516-00000,Dampproofing (Asphalt),Dampproofing (Asphalt),SY,
co_cdot_517-00050,CO,CDOT,517-00050,Waterproofing (Joint),Waterproofing (Joint),LF,
co_cdot_517-00100,CO,CDOT,517-00100,Waterproofing (Railroad),Waterproofing (Railroad),SY,
co_cdot_518-00000,CO,CDOT,518-00000,Bridge Compression Joint Sealer,Brdg Compress Joint Sealer,LF,
co_cdot_518-00010,CO,CDOT,518-00010,Roadway Compression Joint Sealer,Rdwy Compress Joint Sealer,LF,
co_cdot_518-00100,CO,CDOT,518-00100,Waterstop,Waterstop,LF,
co_cdot_518-00106,CO,CDOT,518-00106,Waterstop (6 Inch),Waterstop (6 In),LF,
co_cdot_518-00109,CO,CDOT,518-00109,Waterstop (9 Inch),Waterstop (9 In),LF,
co_cdot_518-00206,CO,CDOT,518-00206,Waterstop (Split Type) (6 Inch),Waterstop (Split Ty) (6 In),LF,
co_cdot_518-01001,CO,CDOT,518-01001,Bridge Expansion Joint (Asphaltic Plug),Br Expan Joint (Asphaultic Plug),LF,
co_cdot_518-01002,CO,CDOT,518-01002,Bridge Expansion Device (0-2 Inch),Br Expan Device (0-2 In),LF,
co_cdot_518-01004,CO,CDOT,518-01004,Bridge Expansion Device (0-4 Inch),Br Expan Device (0-4 In),LF,
co_cdot_518-01005,CO,CDOT,518-01005,Bridge Expansion Device (0-4 Inch)(with Snow Plow Plates),Br Expan Device (0-4 In)(with SPP),LF,
co_cdot_518-01006,CO,CDOT,518-01006,Bridge Expansion Device (0-6 Inch),Br Expan Device (0-6 In),LF,
co_cdot_518-01009,CO,CDOT,518-01009,Bridge Expansion Device (0-9 Inch),Br Expan Device (0-9 In),LF,
co_cdot_518-01012,CO,CDOT,518-01012,Bridge Expansion Device (0-12 Inch),Br Expan Device (0-12 In),LF,
co_cdot_518-01050,CO,CDOT,518-01050,Bridge Expansion Device (Special),Br Expan Device (Special),LF,
co_cdot_518-01060,CO,CDOT,518-01060,Bridge Expansion Device (Gland) (0-4 Inches),Br Expan Device (Gland) (0-4 In),LF,
co_cdot_518-01104,CO,CDOT,518-01104,Bridge Expansion Device (0-4 Inch) (Install Only),Inst Br Expan Device (0-4 In),LF,
co_cdot_518-01109,CO,CDOT,518-01109,Bridge Expansion Device (Greater Than 4 In)(Install Only),Inst Br Expan Device (Greater Than 4 In),LF,
co_cdot_518-01201,CO,CDOT,518-01201,Bridge Expansion Device (Type 1),Br Expan Device (Type 1),LF,
co_cdot_518-01250,CO,CDOT,518-01250,Bridge Expansion Cover Plate,Br Expan Cover Plate,LF,
co_cdot_518-01254,CO,CDOT,518-01254,Expansion Joint (Fiber Reinforced Plastic) Eisenhower Johnson Memorial Tunnel,Expansion Joint (FRP) EJMT,LF,
co_cdot_518-02000,CO,CDOT,518-02000,Elastomeric Concrete End Dam,Elastomeric Conc End Dam,LF,
co_cdot_518-02030,CO,CDOT,518-02030,Polyester Concrete End Dam,Polyester Conc End Dam,CF,
co_cdot_518-03000,CO,CDOT,518-03000,Sawing and Sealing Bridge Joint,Saw and Seal Br Joint,LF,
co_cdot_518-03100,CO,CDOT,518-03100,Rapid Cure Silicone Joint Seal,Rapid Cure Silicone Jt Seal,LF,
co_cdot_519-01000,CO,CDOT,519-01000,Epoxy Resin (Injection),Epoxy Resin (Injection),LF,
co_cdot_519-01100,CO,CDOT,519-01100,Epoxy Mortar (Injection),Epoxy Mortar (Injection),LF,
co_cdot_519-01200,CO,CDOT,519-01200,Epoxy Mortar (Patching),Epoxy Mortar (Patching),CF,
co_cdot_519-01300,CO,CDOT,519-01300,Polyurethane Resin,Polyurethane Resin,LB,
co_cdot_519-02000,CO,CDOT,519-02000,Corner Monuments,Corner Monuments,EACH,
co_cdot_519-03000,CO,CDOT,519-03000,Thin Bonded Epoxy Overlay,Thin Bonded Epoxy Overlay,SY,
co_cdot_519-03030,CO,CDOT,519-03030,Thin Bonded Overlay (Polyester Concrete),Thin Bonded Overlay (Poly Conc),SY,
co_cdot_519-03035,CO,CDOT,519-03035,Place Thin Bonded Overlay (Polyester Concrete),Place Thin Bond Overlay (Poly Conc),SY,
co_cdot_519-03055,CO,CDOT,519-03055,Furnish Thin Bonded Overlay (Polyester Concrete),Furnish Thin Bond Overlay (Poly Conc),CF,
co_cdot_520-00000,CO,CDOT,520-00000,Bridge Hanger Cable Assembly,Bridge Hanger Cable Assembly,L S,
co_cdot_521-00000,CO,CDOT,521-00000,Slurry Cut-Off Wall,Slurry Cut-Off Wall,SF,
