letting_id,source_id,state,agency_id,letting_date,letting_label
sd_sddot_2025_11_05,sd_sddot_bid_tabs_2025_11_05,SD,sd_sddot,2025-11-05,"November 5, 2025"
sd_sddot_2025_11_19,sd_sddot_bid_tabs_2025_11_19,SD,sd_sddot,2025-11-19,"November 19, 2025"
sd_sddot_2025_12_03,sd_sddot_bid_tabs_2025_12_03,SD,sd_sddot,2025-12-03,"December 3, 2025"
sd_sddot_2025_12_10,sd_sddot_bid_tabs_2025_12_10,SD,sd_sddot,2025-12-10,"December 10, 2025"
sd_sddot_2026_01_21,sd_sddot_bid_tabs_2026_01_21,SD,sd_sddot,2026-01-21,"January 21, 2026"
sd_sddot_2026_02_04,sd_sddot_bid_tabs_2026_02_04,SD,sd_sddot,2026-02-04,"February 4, 2026"
sd_sddot_2026_02_18,sd_sddot_bid_tabs_2026_02_18,SD,sd_sddot,2026-02-18,"February 18, 2026"
sd_sddot_2026_03_04,sd_sddot_bid_tabs_2026_03_04,SD,sd_sddot,2026-03-04,"March 4, 2026"
sd_sddot_2026_03_18,sd_sddot_bid_tabs_2026_03_18,SD,sd_sddot,2026-03-18,"March 18, 2026"
sd_sddot_2026_04_01,sd_sddot_bid_tabs_2026_04_01,SD,sd_sddot,2026-04-01,"April 1, 2026"
sd_sddot_2026_04_15,sd_sddot_bid_tabs_2026_04_15,SD,sd_sddot,2026-04-15,"April 15, 2026"
sd_sddot_2026_05_06,sd_sddot_bid_tabs_2026_05_06,SD,sd_sddot,2026-05-06,"May 6, 2026"
sd_sddot_2026_05_13,sd_sddot_bid_tabs_2026_05_13,SD,sd_sddot,2026-05-13,"May 13, 2026"
sd_sddot_2026_05_20,sd_sddot_bid_tabs_2026_05_20,SD,sd_sddot,2026-05-20,"May 20, 2026"
sd_sddot_2026_05_27,sd_sddot_bid_tabs_2026_05_27,SD,sd_sddot,2026-05-27,"May 27, 2026"
